@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,jogging,sprinting,others}

@data
16.661,4.674147,2.459155,0.23187,0.577557,1.663594,1.47539,1.750066,2.309946,1.205707,1.148155,1.512925,0.894198,0.941993,0.685913,1.733252,1.19053,1.081274,0.643354,0.413186,0.22786,0.869679,0.570167,0.440942,0.475646,0.402267,0.170189,0.193959,0.398859,0.097292,0.182301,0.319312,0.127081,0.319312,0.182301,0.097292,0.398859,0.193959,0.170189,0.402267,0.475646,0.440942,0.570167,0.869679,0.22786,0.413186,0.643354,1.081274,1.19053,1.733252,0.685913,0.941993,0.894198,1.512925,1.148155,1.205707,2.309946,1.750066,1.47539,1.663594,0.577557,0.23187,2.459155,4.674147,0.874799,standing
24.667383,5.121714,5.650277,2.414565,4.557333,4.149487,0.472135,2.241211,3.602604,1.566295,2.415968,1.331807,3.29874,2.599479,0.292599,1.047739,0.177038,1.555798,1.221791,0.324937,0.198444,0.494063,0.257151,0.411455,0.465134,0.777554,0.435573,0.256771,0.270248,0.452868,0.21685,0.159548,0.193091,0.159548,0.21685,0.452868,0.270248,0.256771,0.435573,0.777554,0.465134,0.411455,0.257151,0.494063,0.198444,0.324937,1.221791,1.555798,0.177038,1.047739,0.292599,2.599479,3.29874,1.331807,2.415968,1.566295,3.602604,2.241211,0.472135,4.149487,4.557333,2.414565,5.650277,5.121714,1.48225,standing
17.065251,1.077641,2.382416,0.945693,1.548112,3.34902,1.021386,2.133039,0.671495,1.112544,1.471477,0.57797,0.646633,0.710111,0.165612,0.849055,1.039258,0.447505,0.881442,0.786014,0.221968,0.151679,0.630458,0.290735,0.004689,0.479225,0.272812,0.074855,0.38094,0.271773,0.305421,0.044733,0.314341,0.044733,0.305421,0.271773,0.38094,0.074855,0.272812,0.479225,0.004689,0.290735,0.630458,0.151679,0.221968,0.786014,0.881442,0.447505,1.039258,0.849055,0.165612,0.710111,0.646633,0.57797,1.471477,1.112544,0.671495,2.133039,1.021386,3.34902,1.548112,0.945693,2.382416,1.077641,0.664496,standing
13.858853,0.389409,0.251749,1.149094,0.821511,1.923539,1.352447,0.975806,1.271351,0.670253,1.212457,0.332747,0.161683,0.409415,0.43351,0.87723,0.537602,0.124005,0.055389,0.117104,0.344595,0.382176,0.478894,0.266455,0.288849,0.540098,0.194138,0.441343,0.447736,0.057269,0.430396,0.277492,0.023639,0.277492,0.430396,0.057269,0.447736,0.441343,0.194138,0.540098,0.288849,0.266455,0.478894,0.382176,0.344595,0.117104,0.055389,0.124005,0.537602,0.87723,0.43351,0.409415,0.161683,0.332747,1.212457,0.670253,1.271351,0.975806,1.352447,1.923539,0.821511,1.149094,0.251749,0.389409,0.477012,standing
12.893746,0.324359,0.61587,1.478148,0.51014,0.637257,0.539205,0.707816,0.443656,0.799766,0.213131,0.156886,0.392726,0.948788,0.347574,0.323613,0.136574,0.440294,0.092478,0.246114,0.294181,0.112484,0.162619,0.085524,0.170468,0.241457,0.144336,0.098364,0.155987,0.086532,0.046249,0.051235,0.033285,0.051235,0.046249,0.086532,0.155987,0.098364,0.144336,0.241457,0.170468,0.085524,0.162619,0.112484,0.294181,0.246114,0.092478,0.440294,0.136574,0.323613,0.347574,0.948788,0.392726,0.156886,0.213131,0.799766,0.443656,0.707816,0.539205,0.637257,0.51014,1.478148,0.61587,0.324359,0.330881,standing
15.09042,1.476737,1.182502,0.477193,0.209548,1.280531,1.571755,0.900424,1.338023,0.420292,1.008488,0.338312,0.823328,0.348989,0.283976,0.38164,0.54606,0.420519,0.111995,0.352102,0.20575,0.219374,0.099539,0.423943,0.289779,0.166351,0.345535,0.118185,0.113705,0.261121,0.092285,0.026681,0.356733,0.026681,0.092285,0.261121,0.113705,0.118185,0.345535,0.166351,0.289779,0.423943,0.099539,0.219374,0.20575,0.352102,0.111995,0.420519,0.54606,0.38164,0.283976,0.348989,0.823328,0.338312,1.008488,0.420292,1.338023,0.900424,1.571755,1.280531,0.209548,0.477193,1.182502,1.476737,0.481477,standing
20.692243,4.455051,2.725885,3.107124,1.637246,0.830816,1.858178,0.991965,0.80447,1.245331,0.845885,0.875666,0.806401,0.537069,0.815103,0.874803,0.720814,0.836041,0.786362,0.995953,0.625357,0.76319,0.10315,0.417806,0.460136,0.267421,0.586374,0.892405,0.887896,0.610321,0.387628,0.204473,0.168328,0.204473,0.387628,0.610321,0.887896,0.892405,0.586374,0.267421,0.460136,0.417806,0.10315,0.76319,0.625357,0.995953,0.786362,0.836041,0.720814,0.874803,0.815103,0.537069,0.806401,0.875666,0.845885,1.245331,0.80447,0.991965,1.858178,0.830816,1.637246,3.107124,2.725885,4.455051,0.768199,standing
23.000364,0.303588,0.875237,1.222412,1.356987,0.37595,0.770718,0.090835,1.061165,1.522959,1.184614,1.97615,2.299007,0.774217,0.312403,1.568351,0.438446,0.657379,0.420737,0.798689,0.286835,1.020448,0.332951,1.056534,0.443885,0.532992,0.864642,0.89703,0.670387,0.886852,0.518509,0.383044,0.480784,0.383044,0.518509,0.886852,0.670387,0.89703,0.864642,0.532992,0.443885,1.056534,0.332951,1.020448,0.286835,0.798689,0.420737,0.657379,0.438446,1.568351,0.312403,0.774217,2.299007,1.97615,1.184614,1.522959,1.061165,0.090835,0.770718,0.37595,1.356987,1.222412,0.875237,0.303588,0.600065,standing
40.557921,6.796212,8.724861,3.370547,5.359441,7.225025,5.781484,2.351871,3.883545,0.456447,1.798784,0.219732,1.280818,1.582701,1.471285,0.416852,1.157072,0.943509,0.952705,1.273519,1.020337,0.88841,0.886367,0.547181,0.703106,0.778002,0.582426,0.839522,0.860995,0.64486,0.491841,0.582158,0.575046,0.582158,0.491841,0.64486,0.860995,0.839522,0.582426,0.778002,0.703106,0.547181,0.886367,0.88841,1.020337,1.273519,0.952705,0.943509,1.157072,0.416852,1.471285,1.582701,1.280818,0.219732,1.798784,0.456447,3.883545,2.351871,5.781484,7.225025,5.359441,3.370547,8.724861,6.796212,1.586422,standing
22.215238,1.201448,2.203274,3.04638,3.307975,0.721648,1.875536,1.392297,2.248565,0.884148,1.394349,0.44488,0.141871,0.335079,0.816625,0.674768,0.61089,0.349696,0.359685,0.431014,0.291514,0.221424,0.192805,0.092534,0.131832,0.12108,0.080068,0.093567,0.155181,0.075197,0.142453,0.06194,0.135293,0.06194,0.142453,0.075197,0.155181,0.093567,0.080068,0.12108,0.131832,0.092534,0.192805,0.221424,0.291514,0.431014,0.359685,0.349696,0.61089,0.674768,0.816625,0.335079,0.141871,0.44488,1.394349,0.884148,2.248565,1.392297,1.875536,0.721648,3.307975,3.04638,2.203274,1.201448,0.75096,standing
23.562888,3.538484,5.196708,1.147159,2.615462,1.34903,1.153189,0.28931,0.946674,0.104001,0.399285,0.507682,0.569444,0.38266,0.275356,0.238087,0.267843,0.284651,0.355642,0.338167,0.305033,0.251888,0.23537,0.342955,0.149958,0.17756,0.107794,0.266861,0.205713,0.190443,0.176556,0.221307,0.270934,0.221307,0.176556,0.190443,0.205713,0.266861,0.107794,0.17756,0.149958,0.342955,0.23537,0.251888,0.305033,0.338167,0.355642,0.284651,0.267843,0.238087,0.275356,0.38266,0.569444,0.507682,0.399285,0.104001,0.946674,0.28931,1.153189,1.34903,2.615462,1.147159,5.196708,3.538484,0.843966,standing
12.54789,3.322294,2.191801,1.353642,1.169758,0.163031,0.570776,0.732564,0.361643,0.149074,0.573519,0.640259,0.094694,0.329272,0.304789,0.231156,0.117997,0.282591,0.276256,0.087216,0.241556,0.219719,0.166713,0.149763,0.113901,0.115893,0.117972,0.149776,0.122073,0.080301,0.099857,0.153601,0.022117,0.153601,0.099857,0.080301,0.122073,0.149776,0.117972,0.115893,0.113901,0.149763,0.166713,0.219719,0.241556,0.087216,0.276256,0.282591,0.117997,0.231156,0.304789,0.329272,0.094694,0.640259,0.573519,0.149074,0.361643,0.732564,0.570776,0.163031,1.169758,1.353642,2.191801,3.322294,0.415242,standing
6.868408,1.647131,1.753026,0.881415,0.577107,0.518795,0.264486,0.33001,0.239109,0.566477,0.419635,0.054745,0.229896,0.05592,0.152693,0.146711,0.055481,0.162062,0.21768,0.240156,0.136921,0.035922,0.098235,0.069153,0.131614,0.05071,0.089391,0.062141,0.132851,0.090335,0.072829,0.085047,0.061504,0.085047,0.072829,0.090335,0.132851,0.062141,0.089391,0.05071,0.131614,0.069153,0.098235,0.035922,0.136921,0.240156,0.21768,0.162062,0.055481,0.146711,0.152693,0.05592,0.229896,0.054745,0.419635,0.566477,0.239109,0.33001,0.264486,0.518795,0.577107,0.881415,1.753026,1.647131,0.322105,standing
8.903329,0.431785,0.468902,1.727933,0.61646,0.446526,0.918358,0.332162,0.686926,0.419947,0.463537,0.133528,0.111308,0.125896,0.048309,0.090768,0.164577,0.123951,0.172081,0.141059,0.174144,0.151447,0.027706,0.175347,0.114303,0.096201,0.094321,0.046215,0.117387,0.055352,0.056277,0.06474,0.123701,0.06474,0.056277,0.055352,0.117387,0.046215,0.094321,0.096201,0.114303,0.175347,0.027706,0.151447,0.174144,0.141059,0.172081,0.123951,0.164577,0.090768,0.048309,0.125896,0.111308,0.133528,0.463537,0.419947,0.686926,0.332162,0.918358,0.446526,0.61646,1.727933,0.468902,0.431785,0.242188,standing
9.728742,2.187726,0.964138,1.305617,0.255287,0.842011,0.910254,0.725015,0.748046,0.788427,0.301956,0.134444,0.156024,0.337268,0.234843,0.092766,0.145628,0.118931,0.073621,0.136731,0.007911,0.102564,0.138893,0.095143,0.061726,0.040354,0.080235,0.072588,0.12534,0.08135,0.054777,0.047454,0.066138,0.047454,0.054777,0.08135,0.12534,0.072588,0.080235,0.040354,0.061726,0.095143,0.138893,0.102564,0.007911,0.136731,0.073621,0.118931,0.145628,0.092766,0.234843,0.337268,0.156024,0.134444,0.301956,0.788427,0.748046,0.725015,0.910254,0.842011,0.255287,1.305617,0.964138,2.187726,0.326547,standing
7.274158,0.574901,0.501515,0.816585,0.595508,0.747379,0.397388,0.486637,0.079398,0.242438,0.268816,0.23916,0.011718,0.245863,0.217669,0.200355,0.130193,0.172797,0.237129,0.084941,0.07698,0.029182,0.127797,0.117662,0.046733,0.062819,0.097403,0.095801,0.055401,0.104029,0.080886,0.044888,0.091498,0.044888,0.080886,0.104029,0.055401,0.095801,0.097403,0.062819,0.046733,0.117662,0.127797,0.029182,0.07698,0.084941,0.237129,0.172797,0.130193,0.200355,0.217669,0.245863,0.011718,0.23916,0.268816,0.242438,0.079398,0.486637,0.397388,0.747379,0.595508,0.816585,0.501515,0.574901,0.213839,standing
