Year,Month,State,Residential Revenue (Thousand $),Commercial Revenue (Thousand $),Industrial Revenue (Thousand $),Transportation Revenue (Thousand $),Other                 Revenue (Thousand $),All Sectors        Revenue             (Thousand $),Residential Sales (MWh),Commercial Sales (MWh),Industrial Sales (MWh),Transportation Sales (MWh),Other           Sales  (MWh),All Sector    Sales (MWh),Average Retail Price Residential (c/kWh),Average Retail Price Commercial (c/kWh),Average Retail Price  Industrial (c/kWh),Average Retail Price Transportation (c/kWh),Average Retail Price           Other          (c/kWh),Average Retail Price              All Sectors (c/kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1,," 6,841,300 "," 4,332,195 "," 3,452,337 ", -   ," 465,357 "," 15,091,189 "," 95,420,231 "," 62,498,967 "," 75,187,693 ", -   ," 7,767,762 "," 240,874,655 ", 7.17 , 6.93 , 4.59 ,   , 5.99 , 6.27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,2,," 5,571,807 "," 4,070,345 "," 3,421,356 ", -   ," 451,273 "," 13,514,792 "," 74,498,370 "," 56,912,068 "," 74,606,540 ", -   ," 7,345,620 "," 213,362,594 ", 7.48 , 7.15 , 4.59 ,   , 6.14 , 6.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,3,," 5,442,934 "," 4,191,027 "," 3,534,164 ", -   ," 458,404 "," 13,626,535 "," 71,901,767 "," 57,979,978 "," 76,841,977 ", -   ," 7,343,455 "," 214,067,173 ", 7.57 , 7.23 , 4.60 ,   , 6.24 , 6.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,4,," 5,015,134 "," 4,065,960 "," 3,473,270 ", -   ," 468,345 "," 13,022,717 "," 65,190,618 "," 56,480,718 "," 76,238,153 ", -   ," 7,162,259 "," 205,071,739 ", 7.69 , 7.20 , 4.56 ,   , 6.54 , 6.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,5,," 5,006,417 "," 4,310,961 "," 3,640,164 ", -   ," 482,726 "," 13,440,270 "," 62,881,008 "," 58,940,835 "," 78,758,806 ", -   ," 7,571,005 "," 208,151,658 ", 7.96 , 7.31 , 4.62 ,   , 6.38 , 6.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,6,," 5,986,006 "," 4,841,197 "," 3,888,140 ", -   ," 513,521 "," 15,228,862 "," 73,899,811 "," 64,609,125 "," 80,676,340 ", -   ," 7,857,234 "," 227,042,513 ", 8.10 , 7.49 , 4.82 ,   , 6.54 , 6.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,7,," 7,436,335 "," 5,334,102 "," 4,086,480 ", -   ," 556,503 "," 17,413,412 "," 90,935,492 "," 70,948,145 "," 81,116,187 ", -   ," 8,590,035 "," 251,589,853 ", 8.18 , 7.52 , 5.04 ,   , 6.48 , 6.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,8,," 7,296,962 "," 5,354,635 "," 4,189,525 ", -   ," 529,237 "," 17,370,359 "," 88,563,829 "," 71,119,498 "," 84,045,130 ", -   ," 8,384,970 "," 252,113,432 ", 8.24 , 7.53 , 4.98 ,   , 6.31 , 6.89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,9,," 7,031,920 "," 5,194,144 "," 4,055,915 ", -   ," 521,691 "," 16,803,668 "," 86,239,965 "," 69,295,956 "," 81,611,206 ", -   ," 8,034,308 "," 245,181,443 ", 8.15 , 7.50 , 4.97 ,   , 6.49 , 6.85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,10,," 5,596,588 "," 4,782,594 "," 3,952,109 ", -   ," 495,638 "," 14,826,928 "," 69,595,203 "," 63,098,049 "," 81,959,284 ", -   ," 7,654,004 "," 222,306,541 ", 8.04 , 7.58 , 4.82 ,   , 6.48 , 6.67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
