@relation light_intensity_features

@attribute min numeric
@attribute max numeric
@attribute mean numeric
@attribute std numeric
@attribute mean_abs_dev numeric
@attribute label {in_shade,in_sun}

@data
54.007656,56.336365,54.880827,0.67482,0.566197,in_shade
0,57.501186,46.337888,15.870598,13.17049,in_shade
52.843781,58.666313,55.79063,1.213017,1.016991,in_shade
55.171852,58.666313,56.509319,0.785264,0.568754,in_shade
0,59.831734,57.291618,6.29572,1.521882,in_shade
57.501186,59.831734,58.370504,0.692787,0.584073,in_shade
0,60.997448,57.924279,6.36841,1.605547,in_shade
0,62.163445,59.834272,6.599654,1.722905,in_shade
58.666313,62.163445,59.789955,0.882895,0.658384,in_shade
57.501186,61.372742,59.842218,0.9122,0.676689,in_shade
810.211182,910.319397,863.130954,27.392445,23.851384,in_sun
860.84967,1127.890259,1001.36652,58.399289,44.693903,in_sun
878.944214,1054.091797,960.053416,43.738688,36.828394,in_sun
884.976807,1029.909668,945.223314,28.268759,22.097274,in_sun
656.146423,944.123535,867.740356,52.365016,39.254359,in_sun
624.905518,901.87085,769.826967,67.466374,55.061335,in_sun
561.285278,863.261963,758.34173,55.036589,39.098892,in_sun
609.292542,810.211182,715.088248,53.057091,43.751982,in_sun
397.821503,819.853577,612.886365,108.547143,91.705102,in_sun
406.304901,874.11853,644.683573,119.802947,102.355018,in_sun
560.085754,848.789307,735.726559,63.776089,49.654787,in_sun
658.550354,782.497681,730.114835,27.258831,23.733546,in_sun
672.97644,830.702942,764.108649,38.07354,31.588789,in_sun
722.294861,834.319824,772.026405,18.373437,13.605537,in_sun
57.501186,62.163445,59.984365,1.060333,0.823578,in_shade
57.501186,62.163445,60.369184,1.244072,1.054324,in_shade
0,62.163445,58.620896,6.542833,1.896387,in_shade
52.843781,62.163445,57.478844,1.913746,1.484176,in_shade
0,60.997448,58.334,6.442541,1.731559,in_shade
52.843781,60.997448,57.829191,1.753146,1.467691,in_shade
0,60.997448,56.231086,10.940339,4.459202,in_shade
56.336365,62.163445,60.187107,1.450065,1.238797,in_shade
0,63.329727,59.126583,6.826053,2.795604,in_shade
55.171852,60.997448,58.070305,1.492214,1.221481,in_shade
58.666313,62.163445,60.062335,0.841702,0.66496,in_shade
55.171852,62.163445,60.328252,1.413535,1.067632,in_shade
0,62.163445,59.736346,6.629741,1.894376,in_shade
0,64.496284,59.784707,11.46156,4.203612,in_shade
56.336365,62.163445,59.340313,1.599866,1.414219,in_shade
0,63.329727,58.875897,6.608266,2.097936,in_shade
54.007656,62.163445,58.880715,2.049963,1.65902,in_shade
54.007656,62.163445,60.000655,2.423647,1.966444,in_shade
58.666313,64.496284,61.27093,1.475484,1.217789,in_shade
57.501186,62.163445,60.255315,1.112507,0.96243,in_shade
0,62.163445,60.43296,6.608389,1.510339,in_shade
0,62.163445,58.106467,6.469569,1.787458,in_shade
58.666313,63.329727,61.765255,1.005513,0.703713,in_shade
58.666313,62.163445,60.847269,1.001047,0.869475,in_shade
0,62.163445,58.434782,6.885331,3.166833,in_shade
59.831734,63.329727,61.990455,1.005546,0.856402,in_shade
611.694214,980.359497,850.347766,111.865044,99.12491,in_shade
498.955414,796.955322,639.672631,79.422955,68.340688,in_shade
455.861755,806.595703,680.795905,121.236119,111.301646,in_shade
461.843964,766.83905,670.261318,90.982266,79.397033,in_shade
495.362366,670.571838,597.141332,59.161908,55.656401,in_shade
459.450958,742.756836,601.140194,85.901403,79.472698,in_shade
406.960541,717.481384,623.423503,98.542894,91.454745,in_shade
303.732635,710.261902,551.389337,126.780704,107.867126,in_shade
326.580261,674.178772,513.06137,132.024255,126.153062,in_shade
372.353973,660.954468,498.843817,62.360037,44.570282,in_shade
503.746613,707.855591,604.310428,62.352595,57.183429,in_shade
416.112762,629.710571,522.319636,61.328292,54.783585,in_shade
446.292328,683.798584,544.740886,71.4911,62.32937,in_shade
455.861755,622.503174,525.319178,33.27413,23.506719,in_shade
498.955414,733.12677,575.208675,58.780377,45.050305,in_shade
449.880554,697.028625,612.709125,76.223598,70.034097,in_shade
465.433777,677.786011,600.558664,71.476598,67.806987,in_shade
396.591217,646.531799,565.700464,57.426351,49.935785,in_shade
270.949188,657.348389,476.588482,135.128667,119.005846,in_shade
389.779205,675.381165,520.565364,82.586392,67.331265,in_shade
215.128479,660.954468,495.657519,137.995829,128.655514,in_shade
347.651947,725.905273,685.655336,77.031872,45.063678,in_shade
153.351959,712.668274,427.568631,149.712267,117.636557,in_shade
331.87085,734.330444,592.33071,90.206312,68.468777,in_shade
