@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,jogging,sprinting,others}

@data
20.185066,2.146546,0.505602,1.387777,1.612599,2.241025,1.351733,2.653879,1.059534,0.812477,0.928835,0.368072,0.582491,1.075378,1.168245,0.442644,0.227243,0.488743,0.514292,0.406484,0.572106,0.3922,0.489444,0.563008,0.63674,0.508631,0.613795,0.534307,0.525234,0.574126,0.515058,0.446816,0.437058,0.446816,0.515058,0.574126,0.525234,0.534307,0.613795,0.508631,0.63674,0.563008,0.489444,0.3922,0.572106,0.406484,0.514292,0.488743,0.227243,0.442644,1.168245,1.075378,0.582491,0.368072,0.928835,0.812477,1.059534,2.653879,1.351733,2.241025,1.612599,1.387777,0.505602,2.146546,0.66955,standing
41.405734,5.148452,5.627796,1.321321,3.226304,2.877033,2.268484,4.354081,5.120048,0.574756,2.375528,0.389659,3.410975,1.670147,3.135886,0.82596,1.566737,0.38254,1.289525,2.074201,2.282593,1.126642,0.955618,0.938243,1.458478,0.664596,1.141268,0.730191,0.963388,0.727,0.76271,0.842142,0.857893,0.842142,0.76271,0.727,0.963388,0.730191,1.141268,0.664596,1.458478,0.938243,0.955618,1.126642,2.282593,2.074201,1.289525,0.38254,1.566737,0.82596,3.135886,1.670147,3.410975,0.389659,2.375528,0.574756,5.120048,4.354081,2.268484,2.877033,3.226304,1.321321,5.627796,5.148452,1.666457,standing
53.859969,11.721035,10.8557,10.403452,8.583617,4.340219,6.229577,5.836148,5.335966,1.137393,3.39857,1.108774,0.47194,0.745418,0.859999,0.5036,1.684465,1.311795,0.982821,0.97314,1.413647,0.830895,0.699409,0.704966,0.433686,0.536965,0.418275,0.297122,0.466235,0.327988,0.184919,0.147574,0.125344,0.147574,0.184919,0.327988,0.466235,0.297122,0.418275,0.536965,0.433686,0.704966,0.699409,0.830895,1.413647,0.97314,0.982821,1.311795,1.684465,0.5036,0.859999,0.745418,0.47194,1.108774,3.39857,1.137393,5.335966,5.836148,6.229577,4.340219,8.583617,10.403452,10.8557,11.721035,2.488952,standing
60.127418,2.96371,7.814315,3.920518,3.327147,5.052898,5.515541,2.927612,1.633842,2.732423,1.174145,1.676699,0.960677,0.848599,0.391388,0.227645,0.378352,0.251033,0.288202,0.293013,0.208249,0.325143,0.096872,0.170822,0.138312,0.085814,0.120915,0.235334,0.172286,0.103525,0.051505,0.226298,0.080563,0.226298,0.051505,0.103525,0.172286,0.235334,0.120915,0.085814,0.138312,0.170822,0.096872,0.325143,0.208249,0.293013,0.288202,0.251033,0.378352,0.227645,0.391388,0.848599,0.960677,1.676699,1.174145,2.732423,1.633842,2.927612,5.515541,5.052898,3.327147,3.920518,7.814315,2.96371,1.938348,standing
51.363144,5.966894,3.273729,2.890987,2.322467,1.423715,0.695724,0.840612,0.70871,0.445796,0.340927,0.303066,0.475551,0.335437,0.090732,0.280013,0.250929,0.140512,0.195438,0.213279,0.229788,0.189973,0.204384,0.164211,0.154673,0.243271,0.208082,0.203008,0.220007,0.12419,0.144924,0.165304,0.184097,0.165304,0.144924,0.12419,0.220007,0.203008,0.208082,0.243271,0.154673,0.164211,0.204384,0.189973,0.229788,0.213279,0.195438,0.140512,0.250929,0.280013,0.090732,0.335437,0.475551,0.303066,0.340927,0.445796,0.70871,0.840612,0.695724,1.423715,2.322467,2.890987,3.273729,5.966894,1.236012,standing
35.465109,2.811083,3.772759,2.111608,1.453839,0.936584,0.481272,0.080355,0.3429,0.083756,0.186382,0.264892,0.203371,0.129914,0.130199,0.097361,0.085417,0.054877,0.201719,0.138544,0.160133,0.047676,0.129499,0.092863,0.086574,0.117365,0.062588,0.071765,0.085083,0.055387,0.083166,0.112272,0.076533,0.112272,0.083166,0.055387,0.085083,0.071765,0.062588,0.117365,0.086574,0.092863,0.129499,0.047676,0.160133,0.138544,0.201719,0.054877,0.085417,0.097361,0.130199,0.129914,0.203371,0.264892,0.186382,0.083756,0.3429,0.080355,0.481272,0.936584,1.453839,2.111608,3.772759,2.811083,0.896937,standing
31.080971,4.330298,3.658132,1.804856,0.497604,1.639777,0.591322,0.328417,0.297303,0.33347,0.173236,0.111229,0.130796,0.134405,0.225383,0.067373,0.057189,0.124469,0.03279,0.054111,0.174142,0.164636,0.048435,0.076027,0.050666,0.056791,0.012198,0.077798,0.117641,0.098416,0.096731,0.100812,0.021018,0.100812,0.096731,0.098416,0.117641,0.077798,0.012198,0.056791,0.050666,0.076027,0.048435,0.164636,0.174142,0.054111,0.03279,0.124469,0.057189,0.067373,0.225383,0.134405,0.130796,0.111229,0.173236,0.33347,0.297303,0.328417,0.591322,1.639777,0.497604,1.804856,3.658132,4.330298,0.823738,standing
21.076585,1.31466,1.41927,0.397253,1.557321,0.327532,0.697592,0.702209,0.472884,0.524747,0.25285,0.322855,0.159022,0.220885,0.410518,0.191138,0.251156,0.342529,0.161465,0.093149,0.172706,0.164258,0.17235,0.0743,0.13897,0.199687,0.119703,0.129322,0.175522,0.176362,0.129938,0.148312,0.095257,0.148312,0.129938,0.176362,0.175522,0.129322,0.119703,0.199687,0.13897,0.0743,0.17235,0.164258,0.172706,0.093149,0.161465,0.342529,0.251156,0.191138,0.410518,0.220885,0.159022,0.322855,0.25285,0.524747,0.472884,0.702209,0.697592,0.327532,1.557321,0.397253,1.41927,1.31466,0.499262,standing
22.054502,4.073215,4.338584,3.182613,3.341057,3.092506,1.056221,1.120741,1.143726,0.511459,0.468883,0.522467,0.519746,0.552591,0.380685,0.326131,0.370713,0.475093,0.30655,0.366594,0.210786,0.336237,0.312546,0.2622,0.283644,0.283191,0.218523,0.274643,0.242975,0.230918,0.252862,0.286848,0.175271,0.286848,0.252862,0.230918,0.242975,0.274643,0.218523,0.283191,0.283644,0.2622,0.312546,0.336237,0.210786,0.366594,0.30655,0.475093,0.370713,0.326131,0.380685,0.552591,0.519746,0.522467,0.468883,0.511459,1.143726,1.120741,1.056221,3.092506,3.341057,3.182613,4.338584,4.073215,0.751652,standing
18.666672,3.326588,3.906022,3.164686,3.30212,1.35663,2.122708,0.366383,0.80577,0.632336,0.490499,0.178706,0.120545,0.184191,0.140913,0.168891,0.042062,0.104114,0.108379,0.05559,0.050353,0.110223,0.086107,0.121795,0.117986,0.094623,0.092621,0.092706,0.041459,0.140212,0.037326,0.063277,0.157975,0.063277,0.037326,0.140212,0.041459,0.092706,0.092621,0.094623,0.117986,0.121795,0.086107,0.110223,0.050353,0.05559,0.108379,0.104114,0.042062,0.168891,0.140913,0.184191,0.120545,0.178706,0.490499,0.632336,0.80577,0.366383,2.122708,1.35663,3.30212,3.164686,3.906022,3.326588,0.768373,standing
