@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,jogging,sprinting,others}

@data
29.079686,14.225022,12.098355,8.298303,5.849751,3.436558,1.372892,1.037857,1.188132,2.61055,2.596699,2.360482,3.69019,4.335983,3.522386,3.209741,2.747975,1.614166,1.14133,1.210685,0.948062,0.571292,0.505767,1.064434,1.298481,1.045521,0.711506,0.196492,0.397948,0.849187,0.700738,0.544069,0.560682,0.544069,0.700738,0.849187,0.397948,0.196492,0.711506,1.045521,1.298481,1.064434,0.505767,0.571292,0.948062,1.210685,1.14133,1.614166,2.747975,3.209741,3.522386,4.335983,3.69019,2.360482,2.596699,2.61055,1.188132,1.037857,1.372892,3.436558,5.849751,8.298303,12.098355,14.225022,2.676395,standing
88.610315,12.094639,14.566985,6.815425,1.604282,4.337673,2.272287,3.097414,3.876921,1.360744,3.146148,1.477778,3.057199,1.69703,1.745698,1.132018,0.967182,0.611839,1.337477,0.742189,0.403931,0.755582,0.476146,0.771427,0.375245,0.742961,0.778327,0.62073,0.516981,0.457273,0.532364,0.744517,0.452282,0.744517,0.532364,0.457273,0.516981,0.62073,0.778327,0.742961,0.375245,0.771427,0.476146,0.755582,0.403931,0.742189,1.337477,0.611839,0.967182,1.132018,1.745698,1.69703,3.057199,1.477778,3.146148,1.360744,3.876921,3.097414,2.272287,4.337673,1.604282,6.815425,14.566985,12.094639,2.385997,standing
41.855082,3.879224,9.119505,4.070484,4.091919,3.002947,0.105883,2.578725,0.629437,0.681715,1.016344,0.331024,0.817822,0.408702,0.518295,0.129495,0.769255,0.265783,0.178211,0.244094,0.261925,0.457913,0.078151,0.234877,0.10067,0.188357,0.084025,0.221108,0.12323,0.144749,0.117658,0.105914,0.104333,0.105914,0.117658,0.144749,0.12323,0.221108,0.084025,0.188357,0.10067,0.234877,0.078151,0.457913,0.261925,0.244094,0.178211,0.265783,0.769255,0.129495,0.518295,0.408702,0.817822,0.331024,1.016344,0.681715,0.629437,2.578725,0.105883,3.002947,4.091919,4.070484,9.119505,3.879224,1.232899,standing
24.387119,5.401342,8.218327,6.642911,0.631549,2.318794,0.684047,0.432721,0.60293,0.747536,0.229505,0.265627,0.167381,0.090615,0.086809,0.222079,0.219003,0.099014,0.181987,0.035369,0.05427,0.052889,0.072762,0.040288,0.082668,0.083145,0.081952,0.056971,0.066318,0.050198,0.045338,0.055893,0.006247,0.055893,0.045338,0.050198,0.066318,0.056971,0.081952,0.083145,0.082668,0.040288,0.072762,0.052889,0.05427,0.035369,0.181987,0.099014,0.219003,0.222079,0.086809,0.090615,0.167381,0.265627,0.229505,0.747536,0.60293,0.432721,0.684047,2.318794,0.631549,6.642911,8.218327,5.401342,1.07583,standing
14.487907,1.740485,2.856613,4.584633,0.814387,1.40374,0.193106,0.376864,0.390767,0.101844,0.439446,0.359786,0.294496,0.24814,0.249792,0.179196,0.132526,0.099469,0.017444,0.220029,0.122027,0.105671,0.0546,0.099989,0.081818,0.10781,0.055479,0.073211,0.086265,0.076358,0.103273,0.089829,0.075495,0.089829,0.103273,0.076358,0.086265,0.073211,0.055479,0.10781,0.081818,0.099989,0.0546,0.105671,0.122027,0.220029,0.017444,0.099469,0.132526,0.179196,0.249792,0.24814,0.294496,0.359786,0.439446,0.101844,0.390767,0.376864,0.193106,1.40374,0.814387,4.584633,2.856613,1.740485,0.554677,standing
14.580406,5.424648,2.259389,0.364899,0.636164,0.901277,0.736605,0.279998,0.407455,0.203934,0.160593,0.184477,0.057122,0.089182,0.328633,0.186596,0.202137,0.192516,0.096406,0.141996,0.093453,0.058185,0.192172,0.066472,0.090908,0.131625,0.079973,0.034618,0.049275,0.145682,0.100601,0.072797,0.066746,0.072797,0.100601,0.145682,0.049275,0.034618,0.079973,0.131625,0.090908,0.066472,0.192172,0.058185,0.093453,0.141996,0.096406,0.192516,0.202137,0.186596,0.328633,0.089182,0.057122,0.184477,0.160593,0.203934,0.407455,0.279998,0.736605,0.901277,0.636164,0.364899,2.259389,5.424648,0.47142,standing
18.357742,4.2718,1.281021,1.139769,1.269575,1.011481,1.339804,0.31422,0.895893,0.369474,0.308005,0.322432,0.140374,0.430362,0.217063,0.095901,0.195713,0.109782,0.139272,0.049532,0.189086,0.091642,0.175079,0.201171,0.073848,0.233113,0.174521,0.146957,0.141553,0.190999,0.092826,0.098781,0.224194,0.098781,0.092826,0.190999,0.141553,0.146957,0.174521,0.233113,0.073848,0.201171,0.175079,0.091642,0.189086,0.049532,0.139272,0.109782,0.195713,0.095901,0.217063,0.430362,0.140374,0.322432,0.308005,0.369474,0.895893,0.31422,1.339804,1.011481,1.269575,1.139769,1.281021,4.2718,0.571281,standing
204.649354,73.574337,6.443008,16.459262,13.380997,37.093683,12.372599,18.056101,13.423338,14.61274,16.000074,12.818658,8.135293,10.084706,8.312892,5.707048,3.593245,0.429791,2.594613,4.317151,3.678169,3.897408,3.451857,2.934772,2.811137,1.717994,1.459299,0.89818,1.818456,2.715143,2.610283,2.66293,2.022342,2.66293,2.610283,2.715143,1.818456,0.89818,1.459299,1.717994,2.811137,2.934772,3.451857,3.897408,3.678169,4.317151,2.594613,0.429791,3.593245,5.707048,8.312892,10.084706,8.135293,12.818658,16.000074,14.61274,13.423338,18.056101,12.372599,37.093683,13.380997,16.459262,6.443008,73.574337,8.193314,standing
223.396591,23.308128,11.435936,25.015287,4.407411,8.755439,2.83752,17.900358,2.679145,14.335324,2.787487,9.759649,3.139457,5.551452,3.087527,2.635087,2.593333,3.343989,2.995144,2.716016,1.279552,2.998682,0.385043,4.748648,1.380887,4.409511,0.834687,3.726883,1.851511,1.878215,3.29278,0.931304,3.706546,0.931304,3.29278,1.878215,1.851511,3.726883,0.834687,4.409511,1.380887,4.748648,0.385043,2.998682,1.279552,2.716016,2.995144,3.343989,2.593333,2.635087,3.087527,5.551452,3.139457,9.759649,2.787487,14.335324,2.679145,17.900358,2.83752,8.755439,4.407411,25.015287,11.435936,23.308128,5.623318,standing
115.721148,20.931521,23.874638,3.444665,7.443709,6.792081,2.84803,9.859671,1.994953,2.453848,6.207502,1.298432,3.227751,1.648847,0.812822,1.353576,2.458431,0.464347,1.346007,2.780466,1.0968,1.676859,1.20749,1.524373,1.042823,1.53384,0.474627,2.118805,0.874511,1.170495,1.560649,0.632247,1.155032,0.632247,1.560649,1.170495,0.874511,2.118805,0.474627,1.53384,1.042823,1.524373,1.20749,1.676859,1.0968,2.780466,1.346007,0.464347,2.458431,1.353576,0.812822,1.648847,3.227751,1.298432,6.207502,2.453848,1.994953,9.859671,2.84803,6.792081,7.443709,3.444665,23.874638,20.931521,3.618496,standing
