@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
119.601879,44.618338,10.409149,18.124543,8.442155,24.147423,22.773998,11.967313,12.582845,9.175133,2.577009,3.011466,3.755248,3.088301,4.388085,2.428181,3.677498,2.308772,2.227913,3.922027,1.287535,3.342391,2.000519,2.304214,2.614898,0.750195,2.688875,0.983575,2.428185,2.185881,1.119124,2.452886,0.423585,2.452886,1.119124,2.185881,2.428185,0.983575,2.688875,0.750195,2.614898,2.304214,2.000519,3.342391,1.287535,3.922027,2.227913,2.308772,3.677498,2.428181,4.388085,3.088301,3.755248,3.011466,2.577009,9.175133,12.582845,11.967313,22.773998,24.147423,8.442155,18.124543,10.409149,44.618338,5.729649,standing
252.153125,6.753974,9.206783,40.034429,9.954669,12.962067,51.526828,9.212264,7.283003,30.037714,12.326653,1.848898,5.279807,7.109199,1.767375,4.807995,2.920239,0.6767,4.231246,2.403355,0.952668,0.704964,1.28023,0.942852,1.649467,2.115344,0.493814,0.473276,1.276202,1.161718,1.42546,1.460974,0.265554,1.460974,1.42546,1.161718,1.276202,0.473276,0.493814,2.115344,1.649467,0.942852,1.28023,0.704964,0.952668,2.403355,4.231246,0.6767,2.920239,4.807995,1.767375,7.109199,5.279807,1.848898,12.326653,30.037714,7.283003,9.212264,51.526828,12.962067,9.954669,40.034429,9.206783,6.753974,6.911301,standing
261.371335,8.598518,16.108842,46.110285,26.778698,15.83188,38.068017,40.151125,14.718214,9.486395,45.867506,13.040049,4.215581,7.765775,5.621325,4.06683,2.184486,7.033422,9.224533,2.951056,2.512438,1.774743,4.161345,3.030625,1.185034,3.335692,4.721301,2.56228,1.148001,1.580041,3.719408,2.770322,1.772093,2.770322,3.719408,1.580041,1.148001,2.56228,4.721301,3.335692,1.185034,3.030625,4.161345,1.774743,2.512438,2.951056,9.224533,7.033422,2.184486,4.06683,5.621325,7.765775,4.215581,13.040049,45.867506,9.486395,14.718214,40.151125,38.068017,15.83188,26.778698,46.110285,16.108842,8.598518,8.290362,standing
290.191539,13.862028,16.124021,60.501422,29.20421,17.925441,28.159423,54.055189,11.938389,22.24853,53.045939,11.889703,7.139224,10.594211,7.006004,6.269258,7.630957,6.091752,1.76671,1.19895,5.872456,3.076512,2.845168,1.266002,1.120397,3.435789,3.390865,4.457076,2.623154,3.010466,1.394097,0.592298,2.489977,0.592298,1.394097,3.010466,2.623154,4.457076,3.390865,3.435789,1.120397,1.266002,2.845168,3.076512,5.872456,1.19895,1.76671,6.091752,7.630957,6.269258,7.006004,10.594211,7.139224,11.889703,53.045939,22.24853,11.938389,54.055189,28.159423,17.925441,29.20421,60.501422,16.124021,13.862028,9.923341,standing
256.566705,14.382008,31.785068,35.871304,33.151386,17.241318,16.908345,62.62852,6.05061,13.593109,28.661017,25.846748,20.68619,12.165761,15.543737,9.262353,3.556653,5.171931,2.891767,2.958405,7.305306,4.706157,3.703927,5.06827,0.375372,0.820399,2.915299,0.537088,2.588268,4.651884,1.554751,2.398715,1.603415,2.398715,1.554751,4.651884,2.588268,0.537088,2.915299,0.820399,0.375372,5.06827,3.703927,4.706157,7.305306,2.958405,2.891767,5.171931,3.556653,9.262353,15.543737,12.165761,20.68619,25.846748,28.661017,13.593109,6.05061,62.62852,16.908345,17.241318,33.151386,35.871304,31.785068,14.382008,9.11175,standing
282.754182,29.434468,13.682023,45.732291,34.384091,20.616425,9.522425,73.081734,7.028014,6.311161,25.739229,26.654928,21.47221,9.645178,1.500621,4.763417,1.118309,7.036406,4.825153,3.586372,3.194735,4.490454,1.643291,2.223712,1.200425,2.764256,2.817192,1.274434,2.087276,2.579966,0.36241,0.839697,0.472649,0.839697,0.36241,2.579966,2.087276,1.274434,2.817192,2.764256,1.200425,2.223712,1.643291,4.490454,3.194735,3.586372,4.825153,7.036406,1.118309,4.763417,1.500621,9.645178,21.47221,26.654928,25.739229,6.311161,7.028014,73.081734,9.522425,20.616425,34.384091,45.732291,13.682023,29.434468,9.472087,standing
256.264983,19.100839,26.351673,63.375047,27.159223,13.617593,9.132846,49.523908,7.191834,5.933136,40.375446,16.349047,3.518594,16.684369,8.711441,6.101848,3.161249,10.928923,2.697682,1.765757,3.586071,5.558367,2.458401,3.861128,0.618487,3.145936,1.34355,1.780554,0.373915,1.164109,0.117344,1.129903,0.002912,1.129903,0.117344,1.164109,0.373915,1.780554,1.34355,3.145936,0.618487,3.861128,2.458401,5.558367,3.586071,1.765757,2.697682,10.928923,3.161249,6.101848,8.711441,16.684369,3.518594,16.349047,40.375446,5.933136,7.191834,49.523908,9.132846,13.617593,27.159223,63.375047,26.351673,19.100839,8.690885,standing
320.03721,12.25869,16.156239,57.340207,36.894105,28.989561,3.162999,40.901494,6.045472,20.845864,34.971063,26.131848,6.982222,10.845192,9.305171,5.754179,6.653277,10.817797,2.159584,2.444598,2.118988,5.945883,2.101152,2.070185,2.406099,3.035215,2.936427,2.771769,1.986444,1.396107,2.290116,2.195879,2.3551,2.195879,2.290116,1.396107,1.986444,2.771769,2.936427,3.035215,2.406099,2.070185,2.101152,5.945883,2.118988,2.444598,2.159584,10.817797,6.653277,5.754179,9.305171,10.845192,6.982222,26.131848,34.971063,20.845864,6.045472,40.901494,3.162999,28.989561,36.894105,57.340207,16.156239,12.25869,10.038709,standing
311.153863,7.656633,26.29734,36.880897,42.987616,7.919754,15.203222,57.655079,23.204797,18.399166,58.090448,17.867931,7.287683,2.405241,18.0368,4.900915,5.615219,9.454338,2.225893,5.340594,5.268214,7.56968,3.707301,2.77914,4.385518,2.006627,1.007365,3.869988,2.122498,1.975411,0.904686,0.909133,0.448808,0.909133,0.904686,1.975411,2.122498,3.869988,1.007365,2.006627,4.385518,2.77914,3.707301,7.56968,5.268214,5.340594,2.225893,9.454338,5.615219,4.900915,18.0368,2.405241,7.287683,17.867931,58.090448,18.399166,23.204797,57.655079,15.203222,7.919754,42.987616,36.880897,26.29734,7.656633,10.362123,standing
255.825094,23.898788,11.642525,23.352989,38.914051,14.56517,11.791844,28.935641,15.530738,17.120163,33.706764,39.13254,8.241033,5.860481,4.868512,5.657294,7.582256,5.220018,5.795942,4.748102,2.611962,6.929392,1.753421,3.257979,1.706196,1.954094,0.803193,3.830145,2.735245,2.551676,1.276154,2.630196,0.587614,2.630196,1.276154,2.551676,2.735245,3.830145,0.803193,1.954094,1.706196,3.257979,1.753421,6.929392,2.611962,4.748102,5.795942,5.220018,7.582256,5.657294,4.868512,5.860481,8.241033,39.13254,33.706764,17.120163,15.530738,28.935641,11.791844,14.56517,38.914051,23.352989,11.642525,23.898788,9.214361,standing
